dataset,modelo,tipo_feature,config,mae,mape,mse,rmse
us_births_dataset,linear_regression,percentile,w=14,1241.316681891873,12.744036179615268,1909141.6033595342,1381.7169042027149
us_births_dataset,knn,percentile,w=14,1209.1266666666672,12.333940195403933,2261495.886666667,1503.827080041674
us_births_dataset,xgboost,percentile,w=14,1184.8044596354166,11.958194149551415,1709212.3048646608,1307.3684656074051
us_births_dataset,random_forest,percentile,w=14,1283.784876190476,12.985188856857096,2053961.4621843451,1433.1648412462348
us_births_dataset,linear_regression,percentile,w=30,1193.3881141789848,12.355376723096914,1855655.0532592137,1362.2243035782374
us_births_dataset,knn,percentile,w=30,1212.006666666667,12.798122719354385,2631149.2386666667,1622.0817607835515
us_births_dataset,xgboost,percentile,w=30,1208.6616861979167,12.847002685701533,2243118.7616325696,1497.7044974335122
us_births_dataset,random_forest,percentile,w=30,1141.0184103174606,12.239025024926406,2104205.0162711088,1450.5878174971376
bitcoin_dataset_without_missing_values,linear_regression,lags+intervalo,n=7+w=7,773.1309359157679,2.3233596728693477,945185.2293224784,972.2063717763211
bitcoin_dataset_without_missing_values,knn,lags+intervalo,n=7+w=7,1295.0133333333329,3.9461916062108235,2876136.4266666635,1695.9175766135168
bitcoin_dataset_without_missing_values,xgboost,lags+intervalo,n=7+w=7,1418.778125,4.330249784933359,3063290.269803111,1750.225776807984
bitcoin_dataset_without_missing_values,random_forest,lags+intervalo,n=7+w=7,1047.6853333333333,3.178728881831931,2017410.8003733333,1420.3558710313882
bitcoin_dataset_without_missing_values,linear_regression,lags+intervalo,n=14+w=14,845.4836412440053,2.527240150728351,1193440.7445613893,1092.447135820031
bitcoin_dataset_without_missing_values,knn,lags+intervalo,n=14+w=14,1969.2333333333338,5.979579216978541,5053237.604,2247.940747439754
bitcoin_dataset_without_missing_values,xgboost,lags+intervalo,n=14+w=14,1608.3245442708333,4.855815134229766,3223968.3015611013,1795.5412280315652
bitcoin_dataset_without_missing_values,random_forest,lags+intervalo,n=14+w=14,1098.1793333333335,3.3394410179491123,2130239.300333333,1459.5339325734544
bitcoin_dataset_without_missing_values,knn,lags+intervalo,n=30+w=30,4178.52,12.687704806228467,20709086.96,4550.723784190818
bitcoin_dataset_without_missing_values,linear_regression,lags+intervalo,n=30+w=30,841.9151584893019,2.521880009134304,1290672.0892851881,1136.0775014430963
bitcoin_dataset_without_missing_values,xgboost,lags+intervalo,n=30+w=30,1972.4231119791666,5.935350554320526,5127040.941440455,2264.297008221416
bitcoin_dataset_without_missing_values,random_forest,lags+intervalo,n=30+w=30,1369.1489999999997,4.169798398769282,2901613.836509998,1703.4124094035471
saugeenday_dataset,linear_regression,lags+intervalo,n=7+w=7,8.36381631164534,11.837347383317534,297.2455647736824,17.24081102424368
saugeenday_dataset,knn,lags+intervalo,n=7+w=7,9.631333333333338,15.42730942416219,270.78569333333337,16.455567244350267
saugeenday_dataset,xgboost,lags+intervalo,n=7+w=7,8.196525751749675,12.99616644448517,234.15875460439713,15.302246717537825
saugeenday_dataset,random_forest,lags+intervalo,n=7+w=7,8.800677375291952,13.24046199075301,328.5478382968962,18.12588862088963
saugeenday_dataset,linear_regression,lags+intervalo,n=14+w=14,8.321143393974031,12.11768427315149,288.61388164888314,16.988639782186304
saugeenday_dataset,knn,lags+intervalo,n=14+w=14,11.846666666666666,20.33687469258698,325.04389333333336,18.02897371824956
saugeenday_dataset,xgboost,lags+intervalo,n=14+w=14,7.490624160766602,11.601477750504813,238.90802078626587,15.456649727100173
